"plant_species","SeedWidth","SeedLength","SeedWeight","Height","WoodDensity","Genus"
"Hieronyma_macrocarpa",1.675,1.859,0.002,17.5,0.665,"Hieronyma"
"M12",1.38,1.928,0.002,NA,NA,"M12"
"Coussapoa_contorta",1.27454545454545,1.67727272727273,0.00545454545454545,20,0.39,"Coussapoa"
"M14",1.40833333333333,2.11333333333333,1e-04,NA,NA,"M14"
"Ficus_tonduzii",1.21,1.63705882352941,1e-04,17.5466666666667,0.38,"Ficus"
"Saurauia_herthae",2.05857142857143,2.61428571428571,0.0343714285714286,7.25555555555556,0.32,"Saurauia"
"Nectandra_paucinervia",1.573,2.563,0.00295,9,NA,"Nectandra"
"Naucleopsis_naga",0.885,1.6225,1e-04,18.75,0.5839377325,"Naucleopsis"
"Cordia_dwyeri",1.46233333333333,2.72166666666667,0.00423333333333333,9.25,0.3707827305,"Cordia"
"Banara_guianensis",0.59237037037037,0.990925925925926,0.00180123456790123,14.7647058823529,0.592703671428571,"Banara"
"Piper_pequeina",0.682731707317073,1.04085365853659,0.00753560975609756,2.2962962962963,NA,"Piper"
"Cecropia_insignis",1.63255434782609,3.21902173913043,0.00917173913043478,25.5952380952381,0.327829599625,"Cecropia"
"Piptocoma_discolor",2.87416666666667,4.10125,0.00835,30,0.47,"Piptocoma"
"Quararibea_casasecae",1.83714285714286,2.79142857142857,0.00285714285714286,17.5,NA,"Quararibea"
"Pouteria_caimito",1.319,1.771,0.00055,29.2475,1.571252069576,"Pouteria"
"Wettinia_quinaria",12.3764285714286,19.9871428571429,445.736428571429,18.1794871794872,1.34,"Wettinia"
"Ficus_pertusa",2.35596774193548,2.28193548387097,488.438801612903,14.25,0.41265,"Ficus"
"Cecropia_garciae",0.992,1.434,0.001,20.2,0.2824705,"Cecropia"
"Piper_grande",2.19865671641791,3.63074626865672,31.4236830845771,2.25,NA,"Piper"
"Miconia_affinis",4.5625,5.8625,0.045,7.99333333333333,0.60362481,"Miconia"
"M30",0.883,1.223,1e-04,NA,NA,"M30"
"Dendropanax_macrophyllum",0.549,0.804,1e-04,22.5,0.26,"Dendropanax"
"Vismia_baccifera",0.673111111111111,1.86066666666667,0.000926666666666667,13,0.47310343475,"Vismia"
"Annona_papilionella",0.774,1.753,0.001,1.2,0.321403602125,"Annona"
"Ficus_brevibracteata",0.827272727272727,1.20863636363636,0.001,19.8333333333333,0.396325,"Ficus"
"Sapium_laurifolium",5.11,8.265,0.01,20.7666666666667,0.42825,"Sapium"
"Rhynchospora_velutina",11.44,1.99,0.74,8500,NA,"Rhynchospora"
"Billia_columbiana",28.55,31.11,4555,22.5,NA,"Billia"
"Sciodaphyllum_pedicillatum",5.78272727272727,9.40545454545455,0.165454545454545,NA,NA,"Sciodaphyllum"
"M41",0.795,1.56,1e-04,NA,NA,"M41"
"Miconia_multiplicata",0.391333333333333,0.523389830508475,0.00453333333333333,9,0.602836543,"Miconia"
"Licania_sp.1",3.94,8.41,0.07,16.4,NA,"Licania"
"Cecropia_utcubambana",3.912,4.572,0.024,17.09,0.84,"Cecropia"
"Trema_integerrima",8.34,5.975,0.258,34.5,0.3,"Trema"
"Inga_ruiziana",2.083,2.412,1e-04,18.8,0.5996554,"Inga"
"M57",1.112,1.231,0.001,NA,NA,"M57"
"Endlicheria_sp.1",1.705,2.78,0.01,10.7,NA,"Endlicheria"
"M60",0.48,0.86,1e-04,NA,NA,"M60"
"Salacia_juruana",3.65166666666667,4.145,0.025,12,NA,"Salacia"
"Compsoneura_mutisii",4.61923076923077,8.05,0.173884615384615,11.9,NA,"Compsoneura"
"Margaritaria_nobilis",3.52677419354839,4.29483870967742,0.0516451612903226,14.1666666666667,0.594243510461538,"Margaritaria"
"M69",0.534,0.883,0.001,NA,NA,"M69"
"Coussapoa_villosa",1.376,2.449,0.002,17.5,0.39,"Coussapoa"
"Byrsonima_putumayensis",4.64333333333333,5.77,0.0366666666666667,20.6,0.33,"Byrsonima"
"Ocotea_insularis",14.298,24.028,2865.232,25,0.4714214,"Ocotea"
"M75",1.69,2.19,1e-04,NA,NA,"M75"
"Aegiphila_alba",3.08916666666667,5.7475,0.045,25.5,0.66,"Aegiphila"
"M79",2.1225,3.08375,0.0071875,NA,NA,"M79"
"Chrysophyllum_venezuelanense",0.535,1.7,1e-04,40,0.534159414,"Chrysophyllum"
"M85",17.325,26.055,4081,NA,NA,"M85"
"Licania_longicuspidata",2.746,3.876,0.012,5,NA,"Licania"
"Theobroma_cacao",13.783768115942,23.0450724637681,42.4785507246377,2.64420485175202,0.398,"Theobroma"
"M87",13.13,16.9144444444444,1359.22222222222,NA,NA,"M87"
"Pouteria_sapota",5.02571428571429,7.39285714285714,0.0785714285714286,35,1.571252069576,"Pouteria"
"Casearia_arborea",14.4533333333333,21.8833333333333,1875.66666666667,18,0.581131095310345,"Casearia"
"Guarea_macrophylla",5.18882352941176,8.72470588235294,0.458571428571429,19.125,0.66337047072,"Guarea"
"M90",18.29,22.41,1396,NA,NA,"M90"
"M92",1,1.58,1e-04,NA,NA,"M92"
"M93",10.01,22.49,1405,NA,NA,"M93"
"Tetrorchidium_andinum",3.3045,3.711,0.0783,19.25,NA,"Tetrorchidium"
"Urena_lobata",12.8625,14.715,1728,1.8,NA,"Urena"
"Sapium_glandulosum",3.92,4.145,0.025,27,0.396269951294118,"Sapium"
"Coussarea_latifolia",7.391,9.334,0.40302,13,NA,"Coussarea"
"Cordia_alliodora",2.828,3.991,0.021,30,0.486444090156863,"Cordia"
"Palicourea_chignul",3.868,4.065,0.022,3.5,NA,"Palicourea"
"Caryodaphnopsis_theobromifolia",5.84,10.42,0.23,40,NA,"Caryodaphnopsis"
"Trema_micrantha",1.75171428571429,2.42542857142857,0.00342857142857143,17.5,0.325906306214286,"Trema"
